Longitude,Latitude,is_population,population_in_25_km_radius,population_in_50_km_radius,population_in_75_km_radius
-5.6157,51.7264,true,22.666919708251953,75710.5,128993.0
-5.4356,55.1747,true,397.638671875,77871.578125,1.0405018125e6
-5.1898,56.1256,true,17257.97265625,227790.875,1.6329065e6
-5.1674,55.4627,true,4946.0830078125,345590.0,1.56447675e6
-1.6171,55.506,true,38216.08203125,262150.0625,1.632325375e6
-1.62,56.455,true,0.0,0.0,154462.78125
-2.8735,59.3691,true,1525.6474609375,17398.66796875,22954.67578125
-2.9086,53.724,true,1.013708875e6,4.569342e6,7.982767e6
-2.9643,59.1416,true,16482.62890625,22884.919921875,37343.17578125
-3.0224,58.4641,true,13960.0859375,30943.25390625,53030.2734375
-3.1473,59.5156,true,459.94842529296875,3504.916015625,21108.07421875
-3.2164,53.3283,true,1.266007125e6,3.034829e6,6.868964e6
-3.666667,54.75,true,105790.359375,324587.1875,538081.8125
-3.313,58.2668,true,11437.78515625,31875.27734375,122933.34375
-3.4819,54.766,true,102149.140625,394592.625,613146.0625
-3.5355,54.071,true,71225.5234375,525415.3125,1.48404375e6
-4.0866,51.188,true,117630.515625,413232.46875,2.09767075e6
-4.3035,51.232,true,83595.171875,289852.875,1.285660625e6
-4.3664,52.6913,true,21044.109375,114177.96875,347286.78125
-4.3764,51.6668,true,190729.703125,712727.25,1.36140725e6
-4.6171,52.2464,true,25328.16796875,146792.53125,451493.8125
-4.7083,50.796,true,37807.40625,287184.4375,938645.6875
-4.8803,51.289,true,53.52777862548828,62680.11328125,545976.375
-5.105,50.419,true,191203.6875,455637.15625,851162.625
-0.5902,50.263,true,0.0,0.0,1.30385475e6
-0.7206,50.494,true,0.0,961182.875,2.5686545e6
-0.7629,50.762,true,611072.0,2.2454565e6,4.8074835e6
-6.653,50.498,true,0.0,0.0,2262.456787109375
-8.0,50.0,true,0.0,0.0,0.0
-6.3203,49.935,true,2262.456787109375,4292.732421875,76495.3359375
-0.7956,50.717,true,553364.5,2.0218115e6,4.2368375e6
-5.4708,50.111,true,163230.609375,300837.125,425162.0
-0.8746,50.652,true,480214.0625,1.673537e6,3.775638e6
-1.05,51.0167,true,926080.25,3.27634375e6,7.821054e6
-1.0759,50.663,true,652302.9375,1.7761e6,3.752681e6
-1.1586,50.7329,true,916202.8125,1.9999775e6,4.00621275e6
-1.286,50.559,true,143270.90625,1.79271125e6,2.7385735e6
-1.405,50.732,true,981494.875,2.21496925e6,3.333521e6
-1.5711,50.678,true,457130.25,2.10479375e6,2.92807725e6
-1.9387,50.653,true,582467.625,1.327795e6,2.741781e6
-2.135,50.61,true,469550.4375,910379.125,2.273138e6
-2.2124,50.386,true,9303.638671875,566765.125,1.08206825e6
-2.45,50.5,true,105438.5,606001.25,1.378670625e6
-3.22,53.38,true,1.318284e6,3.2228185e6,6.84921e6
-3.2178,53.747,true,428206.03125,2.79741225e6,6.16784e6
-3.556944,50.452222,true,335719.25,980427.25,1.361888375e6
-3.6199,50.194,true,57831.56640625,641935.75,1.0395190625e6
-4.3442,50.343,true,380419.3125,647489.375,1.36594025e6
-4.6384,50.369,true,159679.125,754962.125,1.03214e6
-4.8061,49.418,true,0.0,0.0,5561.8359375
-5.0493,50.046,true,135395.015625,380109.375,605646.125
-5.0585,50.546,true,87823.6875,418720.625,877894.375
-1.517,55.15,true,993354.5,1.780246375e6,2.6460565e6
177.853181,-17.010742,true,0.0,16463.337890625,119280.203125
-89.75,21.266667,true,82975.3046875,1.1887565e6,1.380067625e6
100.20611,5.431509,true,1.10998025e6,2.584615e6,3.1648525e6
-3.0,55.0,true,149007.78125,327167.6875,622315.625
-72.43,41.07,true,102729.59375,721487.125,2.882329e6
99.004318,7.930706,true,147916.28125,332541.90625,1.31247475e6
5.50758,5.35091,true,135496.6875,2.490919e6,4.434987e6
6.86236,4.73614,true,3.01498475e6,6.7241575e6,1.1626308e7
8.583,10.167,true,291085.6875,1.773988125e6,3.912664e6
18.0,35.0,true,0.0,0.0,0.0
-83.6,8.87,true,22201.578125,124610.59375,304660.0625
100.17993,8.438163,true,266047.625,748439.125,1.2827805e6
66.308274,25.568037,true,1307.621826171875,88099.3046875,195053.890625
4.7,48.57,true,88047.75,273112.78125,704722.25
39.236003,-4.651811,true,175115.46875,540284.75,1.415438e6
39.402943,-4.57585,true,164114.40625,598804.625,2.7635965e6
39.566671,-4.042887,true,1.867582375e6,2.5327115e6,3.0109805e6
87.0,20.75,true,266060.25,1.50864625e6,4.608477e6
119.4075,11.19556,true,76555.921875,146661.015625,214886.5625
72.677837,21.134123,true,6.666078e6,8.08533e6,1.1475515e7
